"parent","level","name","lng","lat","people_count_2010","adcode"
"安徽省","city","淮南市","117.018329","32.647574","2333896","340400"
"海南省","city","儋州市","109.576782","19.517486","null","460400"
"内蒙古自治区","city","包头市","109.840405","40.658168","2751850","150200"
"浙江省","city","丽水市","119.921786","28.451993","2116957","331100"
"浙江省","city","温州市","120.672111","28.000575","9130194","330300"
"内蒙古自治区","city","赤峰市","118.956806","42.275317","4341245","150400"
"内蒙古自治区","city","乌海市","106.825563","39.673734","532902","150300"
"江西省","city","鹰潭市","117.033838","28.238638","1125156","360600"
"浙江省","city","嘉兴市","120.750865","30.762653","4501657","330400"
"安徽省","city","安庆市","117.043551","30.50883","5311379","340800"
"湖北省","city","武汉市","114.298572","30.584355","10171553","420100"
"安徽省","city","宣城市","118.757995","30.945667","2532938","341800"
"湖北省","city","随州市","113.37377","31.717497","2955910","421300"
"内蒙古自治区","city","巴彦淖尔市","107.416959","40.757402","1669915","150800"
"内蒙古自治区","city","通辽市","122.263119","43.617429","3545175","150500"
"海南省","city","琼中黎族苗族自治县","109.839996","19.03557","167918","469030"
"海南省","city","澄迈县","110.007147","19.737095","5939907","469023"
"安徽省","city","合肥市","117.283042","31.86119","5680145","340100"
"安徽省","city","六安市","116.507676","31.752889","5623217","341500"
"安徽省","city","黄山市","118.317325","29.709239","1358980","341000"
"黑龙江省","city","伊春市","128.899396","47.724775","1148126","230700"
"湖北省","city","荆州市","112.23813","30.326857","5728937","421000"
"海南省","city","五指山市","109.516662","18.776921","104119","469001"
"海南省","city","定安县","110.349235","19.684966","5939907","469021"
"新疆维吾尔自治区","city","阿拉尔市","81.285884","40.541914","158593","659002"
"海南省","city","白沙黎族自治县","109.452606","19.224584","284614","469025"
"青海省","city","西宁市","101.778916","36.623178","1911721","630100"
"海南省","city","陵水黎族自治县","110.037218","18.505006","427873","469028"
"广东省","city","潮州市","116.632301","23.661701","5300000","445100"
"陕西省","city","宝鸡市","107.14487","34.369315","3716737","610300"
"陕西省","city","渭南市","109.502882","34.499381","5286077","610500"
"黑龙江省","city","鹤岗市","130.277487","47.332085","2162557","230400"
"陕西省","city","汉中市","107.028621","33.077668","3416196","610700"
"陕西省","city","商洛市","109.939776","33.868319","2341742","611000"
"海南省","city","东方市","108.653789","19.10198","408309","469007"
